dur1,dur2,dur3,dur4,dur5,label
128,112,121,0,0,S
137,97,123,0,0,S
114,109,115,0,0,S
94,102,118,0,0,S
118,117,111,0,0,S
109,132,127,0,0,S
110,111,94,0,0,S
102,93,91,0,0,S
89,143,105,0,0,S
110,93,102,0,0,S
71,64,89,0,0,S
123,107,124,0,0,S
152,122,103,0,0,S
163,83,107,0,0,S
160,112,125,0,0,S
114,102,134,0,0,S
160,121,115,0,0,S
121,106,113,0,0,S
107,106,113,0,0,S
100,109,113,0,0,S
98,118,117,0,0,S
113,104,110,0,0,S
124,131,156,0,0,S
107,105,105,0,0,S
134,118,126,0,0,S
86,77,83,0,0,S
72,103,115,0,0,S
227,253,210,0,0,S
140,109,101,0,0,S
130,100,123,0,0,S
75,92,116,0,0,S
142,108,125,0,0,S
84,90,109,0,0,S
105,117,99,0,0,S
108,101,96,0,0,S
87,116,115,0,0,S
90,104,93,0,0,S
103,124,109,0,0,S
102,117,105,0,0,S
136,141,123,0,0,S
105,117,114,0,0,S
102,96,109,0,0,S
112,114,108,0,0,S
89,117,104,0,0,S
87,60,98,0,0,S
97,129,102,0,0,S
126,233,222,0,0,S
129,129,133,0,0,S
92,150,150,0,0,S
173,146,139,0,0,S
141,140,146,0,0,S
130,122,144,0,0,S
128,156,144,0,0,S
118,125,134,0,0,S
128,99,107,0,0,S
105,107,114,0,0,S
127,113,96,0,0,S
98,94,81,0,0,S
105,97,78,0,0,S
111,105,118,0,0,S
154,113,115,0,0,S
149,140,86,0,0,S
134,111,127,0,0,S
104,110,77,0,0,S
101,85,119,0,0,S
95,116,101,0,0,S
123,109,104,0,0,S
81,92,85,0,0,S
103,102,90,0,0,S
92,92,118,0,0,S
117,110,107,0,0,S
158,97,103,0,0,S
101,135,124,0,0,S
130,119,120,0,0,S
153,125,112,0,0,S
110,115,136,0,0,S
127,113,121,0,0,S
150,135,111,0,0,S
121,102,97,0,0,S
113,82,101,0,0,S
91,102,93,0,0,S
92,99,98,0,0,S
102,97,83,0,0,S
123,99,104,0,0,S
100,97,72,0,0,S
112,104,126,0,0,S
87,87,99,0,0,S
120,92,102,0,0,S
155,108,88,0,0,S
102,86,102,0,0,S
102,131,121,0,0,S
137,103,117,0,0,S
127,121,123,0,0,S
113,142,93,0,0,S
103,110,84,0,0,S
90,98,89,0,0,S
78,97,111,0,0,S
108,113,116,0,0,S
123,103,110,0,0,S
106,134,108,0,0,S
135,133,111,0,0,S
127,117,135,0,0,S
67,112,126,0,0,S
119,112,131,0,0,S
97,113,97,0,0,S
105,98,114,0,0,S
97,103,118,0,0,S
95,101,105,0,0,S
105,111,130,0,0,S
129,108,115,0,0,S
108,109,115,0,0,S
104,108,104,0,0,S
103,97,104,0,0,S
116,134,91,0,0,S
117,112,129,0,0,S
110,94,108,0,0,S
94,87,107,0,0,S
117,78,126,0,0,S
87,79,115,0,0,S
118,90,113,0,0,S
87,98,116,0,0,S
134,109,101,0,0,S
83,101,90,0,0,S
104,128,100,0,0,S
99,102,93,0,0,S
80,82,91,0,0,S
97,106,85,0,0,S
